STÉPHANIE FRAPPART,QUARTO ÁRBITRO,FRANÇA
SULTAN MOHAMED AL HAMMADI,ASSISTENTE,EMIRADOS ÁRABES UNIDOS
TALEB AL MARRI,ASSISTENTE,CATAR
TOMAZ KLANCNIK,ASSISTENTE,ESLOVÊNIA
VICTOR GOMES,ÁRBITRO,ÁFRICA DO SUL
WILTON PEREIRA SAMPAIO,ÁRBITRO,BRASIL
YOSHIMI YAMASHITA,QUARTO ÁRBITRO,JAPÃO
ZACHARI ZEEGELAAR,ASSISTENTE,SURINAME
ZAKHELE SIWELA,ASSISTENTE,ÁFRICA DO SUL
MARIO ESCOBAR,ÁRBITRO,GUATEMALA
CALEB WALES,ASSISTENTE,TRINIDAD E TOBAGO
JUAN MORA,ASSISTENTE,COSTA RICA
MAGUETTE NDIAYE,QUARTO ÁRBITRO,SENEGAL
MATEU LAHOZ,ÁRBITRO,ESPANHA
PAU DEVIS,ASSISTENTE,ESPANHA
ROBERTO DÍAZ PÉREZ DEL PALOMAR,ASSISTENTE,ESPANHA
MUSTAPHA GHORBAL,ÁRBITRO,ARGÉLIA
MOKRANE GOURARI,ASSISTENTE,ARGÉLIA
ABDELHAK ETCHIALI,ASSISTENTE,ARGÉLIA
JESÚS VALENZUELA,ÁRBITRO,VENEZUELA
JORGE URREGO MARTÍNEZ,ASSISTENTE,VENEZUELA
TULIO MORENO,ASSISTENTE,VENEZUELA
DANIEL SIEBERT,ÁRBITRO,ALEMANHA
RAFAEL FOLTYN,ASSISTENTE,ALEMANHA
JAN SEIDEL,ASSISTENTE,ALEMANHA
